Student,Kurz,Slot
Student1,PRO,Slot_1
Student2,PRO,Slot_1
Student3,PRO,Slot_1
Student4,PRO,Slot_1
Student5,PRO,Slot_1
Student6,PRO,Slot_1
Student7,PRO,Slot_1
Student8,PRO,Slot_1
Student9,PRO,Slot_1
Student10,PRO,Slot_1
Student11,PRO,Slot_1
Student12,PRO,Slot_1
Student13,PRO,Slot_1
Student14,PRO,Slot_1
Student15,PRO,Slot_1
Student16,PRO,Slot_1
Student17,PRO,Slot_1
Student18,PRO,Slot_1
Student19,PRO,Slot_1
Student20,PRO,Slot_1
Student1,TINF,Slot_2
Student2,TINF,Slot_2
Student3,TINF,Slot_2
Student4,TINF,Slot_2
Student5,TINF,Slot_2
Student6,TINF,Slot_2
Student7,TINF,Slot_2
Student8,TINF,Slot_2
Student9,TINF,Slot_2
Student10,TINF,Slot_2
Student11,TINF,Slot_2
Student12,TINF,Slot_2
Student13,TINF,Slot_2
Student14,TINF,Slot_2
Student15,TINF,Slot_2
Student16,TINF,Slot_2
Student17,TINF,Slot_2
Student18,TINF,Slot_2
Student19,TINF,Slot_2
Student20,TINF,Slot_2
Student1,NUMA,Slot_3
Student2,NUMA,Slot_3
Student3,NUMA,Slot_3
Student4,NUMA,Slot_3
Student5,NUMA,Slot_3
Student6,NUMA,Slot_3
Student7,NUMA,Slot_3
Student8,NUMA,Slot_3
Student9,NUMA,Slot_3
Student10,NUMA,Slot_3
Student11,NUMA,Slot_3
Student12,NUMA,Slot_3
Student13,NUMA,Slot_3
Student14,NUMA,Slot_3
Student15,NUMA,Slot_3
Student16,NUMA,Slot_3
Student17,NUMA,Slot_3
Student18,NUMA,Slot_3
Student19,NUMA,Slot_3
Student20,NUMA,Slot_3
